S.No,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Which keyword is used to define a function in Python?,fun,def,function,define,B
2,What is the correct way to print 'Hello World' in Python?,print("Hello World"),echo("Hello World"),printf("Hello World"),cout<<"Hello World",A
3,Which of the following is a valid variable name in Python?,1variable,my-var,my_variable,my variable,C
4,Which symbol is used for single-line comments in Python?,//,<!--,#,*,C
5,What is the correct extension of Python files?,.pyth,.pt,.py,.pyt,.C
6,Which function is used to get user input in Python?,scan(),cin,input(),get(),C
7,What is the output of: print(type(10))?,str,int,float,bool,B
8,Which operator is used for exponentiation in Python?,^,**,pow,exp,B
9,Which of the following is not a data type in Python?,list,tuple,integer,array,D
10,Which keyword is used to create a loop in Python?,loop,iterate,for,repeat,C
