S.No,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Which of these is the correct way to declare an integer variable in C?,int 1x;,int x;,integer x;,var x;,B
2,Which of these is the correct way to print output?,printf("Hello");,print("Hello"),System.out.println("Hello"),cout<<"Hello",A
3,Which of these is the correct way to take input?,scanf("%d",&x);,cin>>x;,input(x),read(x),A
4,Which symbol is used for single-line comment?,//,/*,#,*,A
5,Which is the correct extension of C files?,.c,.cpp,.java,.txt,A
6,Which data type is used to store decimal numbers?,int,float,double,char,B
7,Which of these is not a valid data type?,int,float,decimal,char,C
8,Which operator is used for addition?,+,add(),++,sum(),A
9,Which operator is used for equality check?,=,==,!=,===,B
10,Which loop executes a block while a condition is true?,for,while,do-while,loop,B
11,Which loop executes at least once?,for,while,do-while,loop,C
12,Which keyword is used to skip current iteration?,skip,continue,break,pass,B
13,Which keyword is used to exit a loop?,exit,stop,break,return,C
14,Which function is the entry point of a C program?,main(),start(),run(),init(),A
15,Which header file is required for printf and scanf?,stdio.h,stdlib.h,conio.h,string.h,A
16,Which of these is used to find size of data type?,sizeof(),length(),size(),count(),A
17,Which operator is used for modulus?,%,mod(),/,,A
18,Which operator is used for increment?,++,+,increment(),--,A
19,Which operator is used for decrement?,--,-,decrement(),++,A
20,Which of these is a valid identifier?,1variable,my-var,_myVariable,my Variable,C
21,Which symbol is used for multi-line comments?,/* */,//,<!-- -->,#,A
22,Which operator is used for logical AND?,AND,&&,||,&,B
23,Which operator is used for logical OR?,OR,||,&&,|,B
24,Which operator is used for logical NOT?,!,not,~,B,A
25,Which operator is used for assignment?,=,==,===,:=,A
26,Which of these is used to define a constant?,final,const,static,#,B
27,Which operator is used for comparison?,=,==,!=,All of the above,B
28,Which operator is used for bitwise AND?,&,&&,|,||,A
29,Which operator is used for bitwise OR?,|,||,&,&&,A
30,Which operator is used for bitwise XOR?,^,&&,|,||,A
31,Which operator is used for left shift?,<<,>>,<,>,A
32,Which operator is used for right shift?,>>,<<,<,>,A
33,Which function is used to terminate program?,exit(),stop(),terminate(),end(),A
34,Which of these is not a loop structure?,for,while,repeat,do-while,C
35,Which keyword is used to define switch case?,switch,case,default,All of the above,D
36,Which keyword is used to handle break in switch?,break,stop,exit,end,A
37,Which of these is a conditional operator?,?:,if,for,while,A
38,Which of these is used for input of character?,scanf("%c",&ch);,scanf("%d",&ch);,scanf("%s",&ch);,input(ch);,A
39,Which header file is required for standard library functions?,stdlib.h,stdio.h,string.h,conio.h,A
40,Which header file is required for string functions?,string.h,stdio.h,stdlib.h,conio.h,A
41,Which of these is used to generate random numbers?,rand(),random(),randomize(),number(),A
42,Which keyword is used to define a structure?,struct,class,object,structure,A
43,Which of these is used to access structure members?,.,->,*,&,A
44,Which of these is used for typedef?,typedef,type,define,defineType,A
45,Which operator is used for ternary condition?,? :,if-else,&&,||,A
46,Which of these is used to declare pointer?,*,&,^,#,A
47,Which operator is used for dereferencing pointer?,*,&,->,%,A
48,Which keyword is used to define enum?,enum,class,struct,define,A
49,Which operator is used for size of variable?,sizeof(),length(),size(),count(),A
50,Which of these is not a valid variable name?,1var,myVar,_var,my_var,A
