S.No,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Which of these is the correct way to declare a variable in C++?,int 1x;,int x;,integer x;,var x;,B
2,Which of these is used to print output?,cout<<"Hello";,print("Hello"),printf("Hello"),System.out.println("Hello"),A
3,Which of these is used to take input?,cin>>x;,scanf("%d",&x);,input(x),read(x),A
4,Which symbol is used for single-line comments?,//,/*,#,*,A
5,Which is the correct extension of C++ files?,.cpp,.c,.java,.txt,A
6,Which data type is used to store decimal numbers?,int,float,double,char,B
7,Which of these is not a primitive data type?,int,float,decimal,char,C
8,Which operator is used for addition?,+,add(),++,sum(),A
9,Which operator is used for equality check?,=,==,!=,===,B
10,Which loop executes a block while a condition is true?,for,while,do-while,loop,B
11,Which loop executes at least once?,for,while,do-while,loop,C
12,Which keyword is used to skip current iteration?,skip,continue,break,pass,B
13,Which keyword is used to exit a loop?,exit,stop,break,return,C
14,Which function is the entry point of a C++ program?,main(),start(),run(),init(),A
15,Which header file is required for cout and cin?,iostream,stdio.h,stdlib.h,string.h,A
16,Which operator is used for modulus?,%,mod(),/,,A
17,Which operator is used for increment?,++,+,increment(),--,A
18,Which operator is used for decrement?,--,-,decrement(),++,A
19,Which of these is a valid identifier?,1variable,my-var,_myVariable,my Variable,C
20,Which symbol is used for multi-line comments?,/* */,//,<!-- -->,#,A
21,Which operator is used for logical AND?,AND,&&,||,&,B
22,Which operator is used for logical OR?,OR,||,&&,|,B
23,Which operator is used for logical NOT?,!,not,~,B,A
24,Which operator is used for assignment?,=,==,===,:=,A
25,Which of these is used to define constant?,const,final,static,#,A
26,Which operator is used for comparison?,=,==,!=,All of the above,B
27,Which operator is used for bitwise AND?,&,&&,|,||,A
28,Which operator is used for bitwise OR?,|,||,&,&&,A
29,Which operator is used for bitwise XOR?,^,&&,|,||,A
30,Which operator is used for left shift?,<<,>>,<,>,A
31,Which operator is used for right shift?,>>,<<,<,>,A
32,Which function is used to terminate program?,exit(),stop(),terminate(),end(),A
33,Which of these is not a loop structure?,for,while,repeat,do-while,C
34,Which keyword is used to define switch case?,switch,case,default,All of the above,D
35,Which keyword is used to handle break in switch?,break,stop,exit,end,A
36,Which of these is a conditional operator?,?:,if,for,while,A
37,Which of these is used for input of character?,cin>>ch;,scanf("%c",&ch);,input(ch),read(ch),A
38,Which header file is required for standard library functions?,cstdlib,iostream,string.h,conio.h,A
39,Which header file is required for string functions?,string,iostream,cstdlib,conio.h,A
40,Which of these is used to generate random numbers?,rand(),random(),pseudo(),srand(),A
41,Which keyword is used to define a structure?,struct,class,object,structure,A
42,Which of these is used to access structure members?,.,->,*,&,A
43,Which of these is used for typedef?,typedef,type,define,defineType,A
44,Which operator is used for ternary condition?,? :,if-else,&&,||,A
45,Which of these is used to declare pointer?,*,&,^,#,A
46,Which operator is used for dereferencing pointer?,*,&,->,%,A
47,Which keyword is used to define enum?,enum,class,struct,define,A
48,Which operator is used for size of variable?,sizeof(),length(),size(),count(),A
49,Which of these is not a valid variable name?,1var,myVar,_var,my_var,A
50,Which keyword is used to define a class?,class,struct,object,define,A
