S.No,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Which header file is required for mathematical functions?,math.h,stdio.h,stdlib.h,string.h,A
2,Which function is used to find square root of a number?,sqrt(),square(),root(),pow(),A
3,Which function is used to find power of a number?,pow(),power(),exp(),sqrt(),A
4,Which function is used to convert string to integer?,atoi(),str2int(),int(),convert(),A
5,Which function is used to convert integer to string?,itoa(),int2str(),str(),convert(),A
6,Which function reads a line from input including spaces?,gets(),scanf(),fgets(),read(),C
7,Which function is safer replacement for gets()?,fgets(),scanf(),gets_s(),readline(),A
8,Which data type is used to store large integer values?,long,long int,float,double,B
9,Which operator is used for pointer arithmetic?,*,&,->,+,C
10,Which operator is used to access structure members via pointer?,.,->,*,&,B
11,Which keyword is used to allocate memory dynamically?,malloc,alloc,new,calloc,A
12,Which keyword is used to free dynamically allocated memory?,free,delete,dispose,release,A
13,Which function is used to reallocate memory?,realloc(),resize(),remalloc(),renew(),A
14,Which keyword is used to define enumeration?,enum,class,struct,typedef,A
15,Which operator is used to access enum values?,.,->,*,&,A
16,Which function can compare two strings?,strcmp(),compare(),equals(),strcomp(),A
17,Which function concatenates two strings?,strcat(),concat(),append(),join(),A
18,Which function copies string from source to destination?,strcpy(),copy(),move(),duplicate(),A
19,Which function calculates string length?,strlen(),length(),size(),count(),A
20,Which operator is used for conditional expression?,?:,if,then,elseif,A
21,Which keyword is used to terminate loop prematurely?,break,exit,continue,stop,A
22,Which keyword skips current iteration in loop?,continue,break,exit,pass,A
23,Which operator is used for bitwise AND?,&,&&,|,||,A
24,Which operator is used for bitwise OR?,|,||,&,&&,A
25,Which operator is used for bitwise XOR?,^,&&,|,||,A
26,Which operator is used for left shift?,<<,>>,<,>,A
27,Which operator is used for right shift?,>>,<<,<,>,A
28,Which function is used to open a file?,fopen(),open(),fileOpen(),openFile(),A
29,Which function is used to close a file?,fclose(),close(),fileClose(),endFile(),A
30,Which function is used to read from a file?,fscanf(),scanf(),read(),fread(),D
31,Which function is used to write to a file?,fprintf(),fwrite(),write(),print(),B
32,Which function checks for end of file?,feof(),eof(),endfile(),isEOF(),A
33,Which function moves file pointer to a specific location?,fseek(),seek(),move(),setpos(),A
34,Which function returns current file pointer position?,ftell(),tell(),pos(),filepos(),A
35,Which operator is used to access array elements?,[],(),{},<>,A
36,Which of these is a preprocessor directive?,#define,#include, #ifdef,All of the above,D
37,Which keyword is used to create macro?,#define,#macro,#const,#macrodef,A
38,Which function generates pseudo-random numbers?,rand(),random(),pseudo(),srand(),A
39,Which function is used to set seed for random numbers?,srand(),rand(),seed(),setrand(),A
40,Which keyword is used to define constant pointer?,const,static,final,define,A
